# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=MIXEDGenerator(balance_classes=False, classification_function=1, random_state=112), position=2000, random_state=112, stream=MIXEDGenerator(balance_classes=False, classification_function=0, random_state=112), width=1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff9bf738b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_mixed_a_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
200,0.400000,0.400000,1.000000,1.000000,8.858398,62.706055
390,0.730000,0.730000,0.945000,0.945000,8.858398,70.764648
590,0.742500,0.755000,0.905000,0.865000,8.858398,76.612305
790,0.726667,0.695000,0.910000,0.920000,8.858398,84.225586
990,0.732500,0.750000,0.915000,0.930000,8.858398,92.284180
1190,0.737000,0.755000,0.914000,0.910000,8.858398,89.225586
1390,0.743333,0.775000,0.913333,0.910000,8.858398,74.631836
1590,0.749286,0.785000,0.912143,0.905000,8.858398,90.709961
1790,0.748750,0.745000,0.908125,0.880000,8.858398,101.260742
1990,0.743333,0.700000,0.906111,0.890000,8.858398,95.397461
2190,0.687000,0.180000,0.882000,0.665000,8.858398,140.561523
2390,0.652727,0.310000,0.877273,0.830000,8.858398,136.573242
2590,0.630000,0.380000,0.870833,0.800000,8.858398,141.061523
2790,0.619231,0.490000,0.866538,0.815000,8.858398,146.014648
2990,0.607500,0.455000,0.862143,0.805000,8.858398,152.448242
3190,0.605333,0.575000,0.855333,0.760000,8.858398,133.233398
3390,0.603437,0.575000,0.852812,0.815000,8.858398,143.413086
3590,0.604412,0.620000,0.851471,0.830000,8.858398,140.924805
3790,0.606389,0.640000,0.847778,0.785000,8.858398,132.467773
3990,0.608684,0.650000,0.848421,0.860000,8.858398,141.463867
4190,0.608250,0.600000,0.851000,0.900000,8.858398,133.967773
4390,0.609524,0.635000,0.852857,0.890000,8.858398,130.307617
4590,0.609091,0.600000,0.852273,0.840000,8.858398,141.518555
4790,0.610000,0.630000,0.851957,0.845000,8.858398,140.202148
4990,0.611667,0.650000,0.853125,0.880000,8.858398,136.627930
5190,0.613800,0.665000,0.855800,0.920000,8.858398,133.065430
5390,0.615192,0.650000,0.855192,0.840000,8.858398,134.354492
5590,0.615370,0.620000,0.855741,0.870000,8.858398,137.499023
5790,0.616071,0.635000,0.853214,0.785000,8.858398,132.463867
5990,0.616207,0.620000,0.853793,0.870000,8.858398,134.666992
6190,0.617167,0.645000,0.854667,0.880000,8.858398,122.499023
6390,0.618065,0.645000,0.854194,0.840000,8.858398,126.502930
6590,0.619687,0.670000,0.853594,0.835000,8.858398,125.077148
6790,0.620152,0.635000,0.852727,0.825000,8.858398,123.463867
6990,0.622059,0.685000,0.853676,0.885000,8.858398,91.374023
7190,0.625143,0.730000,0.854286,0.875000,8.858398,107.643555
7390,0.628472,0.745000,0.856250,0.925000,8.858398,117.592773
7590,0.631081,0.725000,0.857973,0.920000,8.858398,121.038086
7790,0.631842,0.660000,0.859605,0.920000,8.858398,130.237305
7990,0.633846,0.710000,0.861795,0.945000,8.858398,126.881836
8190,0.635250,0.690000,0.862250,0.880000,8.858398,131.362305
8390,0.637927,0.745000,0.863780,0.925000,8.858398,121.057617
8590,0.639524,0.705000,0.864881,0.910000,8.858398,126.569336
8790,0.641395,0.720000,0.866163,0.920000,8.858398,118.237305
8990,0.644205,0.765000,0.865114,0.820000,8.858398,123.420898
9190,0.645778,0.715000,0.863889,0.810000,8.858398,116.401367
9390,0.648913,0.790000,0.865435,0.935000,8.858398,105.170898
9590,0.651383,0.765000,0.865745,0.880000,8.858398,128.772461
9790,0.653438,0.750000,0.866354,0.895000,8.858398,107.237305
9990,0.657959,0.875000,0.866327,0.865000,8.858398,118.487305
10190,0.660400,0.780000,0.867200,0.910000,8.858398,128.327148
10390,0.663431,0.815000,0.866667,0.840000,8.858398,121.885742
10590,0.666442,0.820000,0.867500,0.910000,8.858398,128.698242
10790,0.669245,0.815000,0.867925,0.890000,8.858398,143.725586
10990,0.671944,0.815000,0.868056,0.875000,8.858398,140.424805
11190,0.674636,0.820000,0.867091,0.815000,8.858398,134.807617
11390,0.677500,0.835000,0.867679,0.900000,8.858398,126.186523
11590,0.680965,0.875000,0.868947,0.940000,8.858398,132.256836
11790,0.684138,0.865000,0.869052,0.875000,8.858398,127.401367
11990,0.687119,0.860000,0.868814,0.855000,8.858398,154.319336
12190,0.689000,0.800000,0.868583,0.855000,8.858398,126.967773
12390,0.689426,0.715000,0.868852,0.885000,8.858398,115.772461
12590,0.692097,0.855000,0.868710,0.860000,8.858398,133.206055
12790,0.694524,0.845000,0.868254,0.840000,8.858398,155.682617
12990,0.696094,0.795000,0.867734,0.835000,8.858398,140.483398
13190,0.698154,0.830000,0.868308,0.905000,8.858398,130.073242
13390,0.700152,0.830000,0.868712,0.895000,8.858398,125.538086
13590,0.702687,0.870000,0.869254,0.905000,8.858398,115.674805
13790,0.704706,0.840000,0.869559,0.890000,8.858398,119.081055
13990,0.707101,0.870000,0.869928,0.895000,8.858398,110.252930
14190,0.709643,0.885000,0.870786,0.930000,8.858398,121.499023
14390,0.712324,0.900000,0.870563,0.855000,8.858398,116.377930
14590,0.714236,0.850000,0.870764,0.885000,8.858398,122.624023
14790,0.716096,0.850000,0.869863,0.805000,8.858398,114.698242
14990,0.718243,0.875000,0.869595,0.850000,8.858398,125.315430
15190,0.720000,0.850000,0.869667,0.875000,8.858398,129.913086
15390,0.722368,0.900000,0.870592,0.940000,8.858398,114.096680
15590,0.724481,0.885000,0.871494,0.940000,8.858398,113.870117
15790,0.726090,0.850000,0.872115,0.920000,8.858398,107.979492
15990,0.728038,0.880000,0.872532,0.905000,8.858398,101.627930
16190,0.729375,0.835000,0.873437,0.945000,8.858398,99.272461
16390,0.730556,0.825000,0.874074,0.925000,8.858398,110.206055
16590,0.732134,0.860000,0.873902,0.860000,8.858398,100.948242
16790,0.733614,0.855000,0.873373,0.830000,8.858398,129.452148
16990,0.734583,0.815000,0.873393,0.875000,8.858398,132.331055
17190,0.736235,0.875000,0.873765,0.905000,8.858398,115.975586
17390,0.738256,0.910000,0.873430,0.845000,8.858398,141.631836
17590,0.739483,0.845000,0.873448,0.875000,8.858398,109.983398
17790,0.740682,0.845000,0.873409,0.870000,8.858398,124.420898
17990,0.741910,0.850000,0.873708,0.900000,8.858398,137.842773
18190,0.742833,0.825000,0.873167,0.825000,8.858398,132.268555
18390,0.743681,0.820000,0.872527,0.815000,8.858398,149.874023
18590,0.744674,0.835000,0.871739,0.800000,8.858398,135.495117
18790,0.745860,0.855000,0.870806,0.785000,8.858398,121.268555
18990,0.746862,0.840000,0.870904,0.880000,8.858398,119.870117
19190,0.748263,0.880000,0.871474,0.925000,8.858398,125.655273
19390,0.749687,0.885000,0.871927,0.915000,8.858398,123.010742
19590,0.750412,0.820000,0.871959,0.875000,8.858398,141.030273
19790,0.751531,0.860000,0.871888,0.865000,8.858398,148.549805
19990,0.752828,0.880000,0.872121,0.895000,8.858398,141.913086
20190,0.753800,0.850000,0.872300,0.890000,8.858398,121.276367
20390,0.754604,0.835000,0.872178,0.860000,8.858398,136.424805
20590,0.755637,0.860000,0.872353,0.890000,8.858398,139.850586
20790,0.756699,0.865000,0.872524,0.890000,8.858398,102.213867
20990,0.757740,0.865000,0.872404,0.860000,8.858398,119.440430
21190,0.758762,0.865000,0.872190,0.850000,8.858398,132.643555
21390,0.760094,0.900000,0.872642,0.920000,8.858398,120.909180
21590,0.760888,0.845000,0.872897,0.900000,8.858398,127.209961
21790,0.762083,0.890000,0.873102,0.895000,8.858398,132.932617
21990,0.763394,0.905000,0.873440,0.910000,8.858398,128.768555
22190,0.764091,0.840000,0.873409,0.870000,8.858398,129.038086
22390,0.764910,0.855000,0.872838,0.810000,8.858398,124.991211
22590,0.766161,0.905000,0.872634,0.850000,8.858398,130.030273
22790,0.767035,0.865000,0.872478,0.855000,8.858398,136.174805
22990,0.767895,0.865000,0.872763,0.905000,8.858398,93.967773
23190,0.769087,0.905000,0.873174,0.920000,8.858398,104.690430
23390,0.769784,0.850000,0.873362,0.895000,8.858398,113.405273
23590,0.770556,0.860000,0.873419,0.880000,8.858398,110.448242
23790,0.771314,0.860000,0.873814,0.920000,8.858398,101.346680
23990,0.772059,0.860000,0.873571,0.845000,8.858398,120.166992
24190,0.772708,0.850000,0.873500,0.865000,8.858398,124.131836
